72709,291103009007,천변좌로,Cheonbyeonjwa-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72710,291103009007,천변좌로,Cheonbyeonjwa-ro,1,광주광역시,Gwangju,동구,Dong-gu,용산동,Yongsan-dong,1,126.0,0,,,,
72711,291103009007,천변좌로,Cheonbyeonjwa-ro,2,광주광역시,Gwangju,동구,Dong-gu,소태동,Sotae-dong,1,119.0,0,,,,
72712,291103009008,충장로,Chungjang-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72713,291103009008,충장로,Chungjang-ro,1,광주광역시,Gwangju,동구,Dong-gu,금남로5가,Geumnamno 5(o)-ga,1,102.0,0,,,,
72714,291103009008,충장로,Chungjang-ro,2,광주광역시,Gwangju,동구,Dong-gu,충장로5가,Chungjangno 5(o)-ga,1,103.0,0,,,,
72715,291103009008,충장로,Chungjang-ro,3,광주광역시,Gwangju,동구,Dong-gu,충장로1가,Chungjangno 1(il)-ga,1,127.0,0,,,,
72716,291103009008,충장로,Chungjang-ro,4,광주광역시,Gwangju,동구,Dong-gu,충장로2가,Chungjangno 2(i)-ga,1,128.0,0,,,,
72717,291103009008,충장로,Chungjang-ro,5,광주광역시,Gwangju,동구,Dong-gu,충장로3가,Chungjangno 3(sam)-ga,1,129.0,0,,,,
72718,291103009008,충장로,Chungjang-ro,6,광주광역시,Gwangju,동구,Dong-gu,충장로4가,Chungjangno 4(sa)-ga,1,130.0,0,,,,
72719,291103009008,충장로,Chungjang-ro,7,광주광역시,Gwangju,동구,Dong-gu,금남로1가,Geumnamno 1(il)-ga,1,131.0,0,,,,
72720,291103009008,충장로,Chungjang-ro,8,광주광역시,Gwangju,동구,Dong-gu,금남로2가,Geumnamno 2(i)-ga,1,132.0,0,,,,
72721,291103009008,충장로,Chungjang-ro,9,광주광역시,Gwangju,동구,Dong-gu,금남로4가,Geumnamno 4(sa)-ga,1,134.0,0,,,,
72722,291103009008,충장로,Chungjang-ro,10,광주광역시,Gwangju,동구,Dong-gu,수기동,Sugi-dong,1,104.0,0,,,,
72723,291103009009,화산로,Hwasan-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72724,291103009009,화산로,Hwasan-ro,1,광주광역시,Gwangju,동구,Dong-gu,용산동,Yongsan-dong,1,126.0,0,,,,
72725,291103009017,경양로,Gyeongyang-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72726,291103009017,경양로,Gyeongyang-ro,1,광주광역시,Gwangju,동구,Dong-gu,동명동,Dongmyeong-dong,1,108.0,0,,,,
72727,291103009017,경양로,Gyeongyang-ro,2,광주광역시,Gwangju,동구,Dong-gu,계림동,Gyerim-dong,1,109.0,0,,,,
72728,291103009017,경양로,Gyeongyang-ro,3,광주광역시,Gwangju,동구,Dong-gu,산수동,Sansu-dong,1,110.0,0,,,,
72729,291103009019,금남로,Geumnam-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72730,291103009019,금남로,Geumnam-ro,1,광주광역시,Gwangju,동구,Dong-gu,금남로5가,Geumnamno 5(o)-ga,1,102.0,0,,,,
72731,291103009019,금남로,Geumnam-ro,2,광주광역시,Gwangju,동구,Dong-gu,금남로1가,Geumnamno 1(il)-ga,1,131.0,0,,,,
72732,291103009019,금남로,Geumnam-ro,3,광주광역시,Gwangju,동구,Dong-gu,금남로2가,Geumnamno 2(i)-ga,1,132.0,0,,,,
72733,291103009019,금남로,Geumnam-ro,4,광주광역시,Gwangju,동구,Dong-gu,금남로3가,Geumnamno 3(sam)-ga,1,133.0,0,,,,
72734,291103009019,금남로,Geumnam-ro,5,광주광역시,Gwangju,동구,Dong-gu,금남로4가,Geumnamno 4(sa)-ga,1,134.0,0,,,,
72735,291103009019,금남로,Geumnam-ro,6,광주광역시,Gwangju,동구,Dong-gu,충장로3가,Chungjangno 3(sam)-ga,1,129.0,0,,,,
72736,291103009019,금남로,Geumnam-ro,7,광주광역시,Gwangju,동구,Dong-gu,충장로2가,Chungjangno 2(i)-ga,1,128.0,0,,,,
72737,291103009020,독립로,Dongnip-ro,0,광주광역시,Gwangju,동구,Dong-gu,,,2,,0,,,,
72738,291103009020,독립로,Dongnip-ro,1,광주광역시,Gwangju,동구,Dong-gu,대인동,Daein-dong,1,101.0,0,,,,
72739,291103009020,독립로,Dongnip-ro,2,광주광역시,Gwangju,동구,Dong-gu,금남로5가,Geumnamno 5(o)-ga,1,102.0,0,,,,
72740,291103009020,독립로,Dongnip-ro,3,광주광역시,Gwangju,동구,Dong-gu,충장로5가,Chungjangno 5(o)-ga,1,103.0,0,,,,
